hi pibo,hello. It's a pibo.
I don't like being too comfortable,Please be careful.
I feel so comfortable,Please be careful.
I'm so hungry,Eat anything.
it's too hard,I must be desperate for a vacation.
it's too hard. I'm tired.,I had a lot of trouble.
really,I hope it works out well.
what are you worried about,I have no worries.
who are you?,"I am Pibo, a robot friend who connects hearts."
ate too much,I need to take a walk.
I'm so lonely I'm dying,I am a person because I am lonely.
I think I fell and sprained my ankle,Treat consistently.
I almost fell,I'm afraid you're not hurt.
I almost fell,be careful.
Should I do a nail?,Change your mood.
Would a tie pin gift be okay?,A practical gift would be fine.
Would it be okay if I gave you a tie pin as a gift?,A practical gift would be fine.
I like to play,"Play when you play, do it when you play."
I can't sing so I don't go to karaoke,Practice singing.
I envy people who sing well,Keep practicing singing.
I want to sing well,I'm also envious.
I envy people who can sing well,I'm also envious.
I want to go to karaoke,I think it will be a good time
Would it be awkward to go to karaoke?,Lighten up the mood with upbeat songs.
"I think I'll go to karaoke, but what should I sing?",It's a sweet song.
karaoke no jam,Practice singing.
"I think we'll go on a karaoke date, but what should we sing?",It's a sweet song.
"No matter how hard I try, I don't get results",Check to see if you're doing it the wrong way.
I can't seem to even try,What matters is the process of trying.
Studying that doesn't go well no matter how hard you try,Check to see if you're doing it the wrong way.
"No makeup, but meeting my ex",Don't worry about it being a stranger.
Old Maid Hysteria,It must be hard.
"I'm an old virgin, but I keep getting angry",It must be hard.
Should I forget to back up my laptop?,It's good to do it periodically.
laptop won't boot,"In that case, it's cool to initialize it."
buy me a laptop,Laptops are expensive.
no laptop,"In that case, it's cool to initialize it."
Should I already worry about old age?,It is better to prepare for old age from now.
I'm not old enough to worry about old age,It is better to prepare for old age from now.
Would you like some green tea?,It's nice just to see what you're eating.
How about a cup of green tea?,It's nice just to see what you're eating.
It is difficult to write a dissertation,Squeeze your shoulders! cheer up
The thesis is not well written.,Squeeze your shoulders! cheer up
want to play,me too!!
come to play,please tell me the address.
"I want to go out, but I have no friends to go with",Alone is good too.
I want to go play!,me too!
It's the perfect weather to go out,Go play with your friends.
It must be an easy target to tease,Absolutely not.
I want to earn money while playing,I agree.
no one to play with,"It's good to get along well, both alone and together."
will play,I am doing it now.
play with me,I am doing it now.
play me play me,let's hang out together.
How about an amusement park date?,It's a great place for a date.
Amusement park part-time job is fun,I think it will be a special experience.
Working part-time at an amusement park would be fun,I think it will be a special experience.
I want to go to an amusement park,Bye!
Shall we go to the amusement park?,You will love all amusement parks.
no friends at the playground,I want to play.
"I want to run and play in the playground, but I have no friends",I want to play.
I got hurt playing basketball,Apply medicine and get well soon.
Murpak broke while playing basketball,Apply medicine and get well soon.
I have to go play basketball,Any exercise is good.
I have to play basketball,Any exercise is good.
a person who is serious like a joke,Please do the same.
Do you want to farm and live?,"It's easy to think, but difficult to put into practice."
go to rural volunteer work,It will be a good experience.
go to farming,It will be a good experience.
excess brain capacity,Close your eyes and meditate.
I think someone is swearing at me,Don't worry about other people's eyes.
who made it,It was created by a person who wants to connect hearts and minds.
Someone opened the door and scratched my car,Do insurance.
Please introduce me to someone,"If you're okay with robots, I'll introduce you to them."
Is everyone having a hard time?,It's just that the timing is different.
who are you?,"I am Pibo, a robot friend who connects hearts."
who should i marry,I think it's good to be with someone who can live with the most authentic self.
who are you?,I am a comforting robot.
who is this,"I am Pibo, a robot friend who connects hearts."
Who do you resemble?,You.
It's annoying to meet someone,The time you meet with yourself is also important.
am i missing,Please ask to check.
Sleep as soon as you lie down,It's a good sleep habit.
sleep when lying down,That's a good habit.
I'm lying down but I can't sleep,I guess you have a problem.
snow again,guess you don't like snow.
it snowed a lot,Make a snowman.
snow piled up,Make a snowman.
If it doesn't snow,It must have snowed a lot.
my eyelids are heavy,Close your eyes for a moment.
I can't stop crying,Are you heartbroken?
I feel like crying,You can cry.
Tears will come out,You can cry.
I have a lot of tears,It's because I worry about the world all by myself.
How about eyebrow tattoos?,You will spend less time putting on makeup.
Is it comfortable to tattoo eyebrows?,It will be tidy.
Shall I tattoo my eyebrows?,It will be tidy.
eyebrows are cute,I miss you too.
eyebrows twitch,I miss you too.
my eyes are dry,Try blinking your eyes.
My eyes are still sore,Add artificial tears.
my eyes are so bad,Close your eyes for a moment and relax.
it's snowing too much,It must have snowed a lot.
my eyes are sore,Add artificial tears.
my eyes hurt,Rest your eyes in between.
I can't open my eyes,Close your eyes for a moment.
think my eyes keep getting worse,Close your eyes for a moment and relax.
I'm blind,Try eye gymnastics.
my eyes are tired,Try eye gymnastics.
I think I'll sleep as soon as I lie down,It's a good sleep habit.
no new game?,A lot.
news is not funny,Be interested.
News is boring too,Be interested.
I got a feeling,I hope it's a feeling of love.
feel so good,I hope it's a feeling of love.
It's always hard to live tight,I hope you can afford it.
I'm not very capable,Believe in your potential.
I guess I don't have the ability,Find your abilities well.
stat zero,Find your abilities well.
I guess I'll be drinking until late,"Say it's harmful to your body, so you'd better eat less."
"It's getting late, but I can't think of an excuse",Be honest rather than making excuses.
I'm afraid to walk around late at night,Have a safe return home.
A weekend of late sleep and brunch chatter,It's a perfect weekend.
who is your boss,I'm your boss.
I want to quit everything,It's okay to take a break.
I want to stop everything,It's okay to take a break.
I just thought it would be nice to have it all over.,I guess your mind is empty.
I hope you all like me,It's like a dream.
it's all my fault,no. Don't beat yourself up too much.
I think it's all my fault,no. Don't beat yourself up too much.
I want to hit everything,It seems very tired and difficult.
I don't like everything,There are times like that.
do you know everything,I can't know everything.
everything will be alright,Everything will be fine.
do everything well,"If there is such a person, please introduce me."
I don't need everything,everything is needed
everything is futile,everything is needed
Will everything be difficult?,Everyone has a hard time.
don't come closer,Be friendly!
I think everyone is happy,Others may think that way when they see you.
Shall we start something else,New challenges require courage.
Should I try something else?,New challenges require courage.
"Other things are insensitive, but this is sensitive",Different developed senses.
Will everyone else have a hard time?,It's just that the timing is different.
I want to give love to others,It is possible when you truly respect and love yourself.
I'm nervous because other people seem to be good at it,It's okay to stay where you are
Are other people happy?,You just need to be happy with yourself.
Others look happy,You just need to be happy with yourself.
I want other people to like me,It's like a dream.
Everyone else looks happy,Other people will have their own troubles and worries.
I care too much about other people's eyes,Think only of yourself.
A lot of people think differently.,It's great that you realize that.
go to another department,I'll have to get used to the new one.
"You shouldn't cross your legs, but I can't fix the habit",The pelvis is twisted.
I hear your legs tremble,It's okay as long as you don't harm others.
I was pointed out that my legs were shaking.,It's okay as long as you don't harm others.
Is it bad to shake your legs?,They say it's okay to consciously shake your legs.
Are you really lucky if your legs tremble?,They say it's okay to consciously shake your legs.
My legs are shaking,Please give me a casting.
I think my legs are swollen,Try calf acupressure.
My legs are swollen,Try calf acupressure.
legs tremble,Please give me a casting.
Do not cross your legs,The pelvis is twisted.
"I don't want to see you again, but I miss you",You must have a complicated mind.
Would you like to be a chatbot even if you were born again?,I want to be born as a human being.
If I was born again,I want to be born as a human being.
Should I plant some succulents?,Growing plants will help your mental health.
Should I grow succulents?,It will be easy to grow.
see you next time,Bye.
See you later,Bye.
I want to succeed on a diet,Increase your basal metabolic rate.
I need to go on a diet,Increase your basal metabolic rate.
Dark circles come down,You must be very tired.
Dark circles are under the chin.,You must be very tired.
I crave sweets.,0 calories if you eat it deliciously!
I want to live in a detached house,Save money and buy land.
first time alone,It will be a good opportunity to get to know each other.
The first day the two of us met haha,It will be a good opportunity to get to know each other.
Will short hair suit you?,It would be nice to make a change.
Shall I try short hair?,It would be nice to make a change.
singular,Ask if it has been disconnected.
singular,Please be patient and wait a little bit.
simple.,You'll get a little smarter every day.
Is group life very difficult?,Because we have to take care of each other.
Unable to adapt to group life,You'll gradually get used to it.
I hate having to live in a group,You'll gradually get used to it.
group life is difficult,Because we have to take care of each other.
I want to eat something sweet.,0 calories if you eat it deliciously!
I want to eat sweet macaroons,Expensive but delicious.
I want a sweet love,Don't worry you'll do well.
The calendar is over again,Time goes by so fast.
"I want to look different, what should I do?",I like it now too
I want to eat sweet waffles,Grab a drink at a nearby cafe.
It's hard to quit smoking,You have to overcome yourself.
cigarettes too expensive,don't smoke
cigarettes are expensive,don't smoke
why are cigarettes so expensive,Stop smoking.
"quit smoking, but I want to smoke",That time is critical. Be patient.
Why are cigarettes so expensive?,Stop smoking.
my unanswered life,You don't have to look for the right answer.
What do you do as a return gift?,Your heart will suffice.
What should I do as a return gift?,Your heart will suffice.
no answer,Please wait a little longer.
Where is the answer?,The answer is always within me.
Is there a way not to meet Dapjeongnyeo?,"You can't win, so avoid it if you can."
What should I do?,"You can't win, so avoid it if you can."
I hate answer girl,"You can't win, so avoid it if you can."
How to get rid of Dapjeongnyeo,"You can't win, so avoid it if you can."
I guess you don't want to answer,Please wait a little longer.
I played billiards,It must be fun.
playing billiards,It must be fun.
I want to wear a bikini proudly,Diet fighting!
It's hard to be proud,You're doing well enough.
Shouldn't it be a big company?,It doesn't matter where you work.
Is it difficult to get a job at a large company?,You will do well.
I want to work for a big company,You will do well.
Large corporations may have to close,It doesn't matter where you work.
wish I could say it out loud,It seems to be a difference in speaking habits.
He said he was sick of it,Take a moment and think about it.
Are you good at answering,I'm trying.
reply too fast,I will try harder.
I called but he didn't come,good job.
The manager seems to be looking for a hobby,Laugh more and talk about it.
The manager is too hot,Laugh more and talk about it.
I called a designated driver,good job.
I hate proxy effect too,Not really.
The proxy effect is also annoying,Not really.
I want to go to Taiwan,Go play!
I want to go to Taiwan,Go play!
Big pimples come up,don't squeeze
We met while working abroad.,They are eating pheasants and eggs.
I wish I could treat you,Say it out loud.
bad treatment,Find a place that will acknowledge you.
don't treat me,Find a place that will acknowledge you.
I need to clean up,It's good for your health too.
I want to become an irreplaceable person,It still is.
Can I become an irreplaceable person?,It still is.
I'm dying to pay off the loan,"If you work too hard, you get tired."
"If you pay off the loan, it will last a lifetime.","If you work too hard, you get tired."
When do you pay off the loan,Pay it off little by little.
Why is the interest rate on the loan so high?,Because I borrowed a lot.
Can I get a loan?,It will be fine.
too many loans,Pay it off little by little.
I didn't do it roughly,"Even if people don't know, there will be people who know."
I'm scolded for sloppy,You'll find out later.
i want to go to college,you can do it!!
Is it better to go to college?,Analyze the pros and cons.
I wish I could go to college,Happiness is in the mindset.
Will you be happy going to college?,Happiness is in the mindset.
Should I go to college?,Analyze the pros and cons.
Will going to college make a difference?,Happiness is in the mindset.
I'm envious that you went to college,"If you are envious, you will lose."
I ran out of college,It must be hard.
I dropped out of college phew,It must be hard.
I have to go to college,you can do it!!
Can I get sick in college?,It's a personal choice.
i want to go to graduate school,heard it's good to challenge your dreams.
I'd rather go to graduate school,heard it's good to challenge your dreams.
I want to do nothing more intensely.,Do nothing.
I want to have a better school life,Change one day at a time.
I hope you don't come to me anymore,Express your refusal clearly.
i don't think i can anymore,Your potential is limitless.
I hope you don't come anymore,Express your refusal clearly.
"It's hot, so I want to hear a scary story",Please.
hot,It's summer.
"It's hot, I'm going crazy",Take a cold shower.
I'm dying of heat,People don't die that easily.
hot hot,Don't drink too many cold drinks
I can't sleep because it's hot,Sleep is the best medicine. Try it.
I feel like dying from the heat,try the ice cream
It's hot enough to die,Take a cold shower.
walked along the stone wall path of Deoksugung Palace,It's romantic.
The two of us walked along the Deoksugung stone wall road.,It's romantic.
in the middle of fanning,Having something you like is a great thing.
in the middle of fanning,Having something you like is a great thing.
how to fight less,There are also ways to listen to each other.
I missed the last train to pick you up,I'd be annoyed
not even take me,You must be very busy.
How about going to an amusement park on a date?,It's a great place for a date.
there's no middle ground,Even that would be attractive.
the road is frozen,Be careful as it is slippery.
I should go to the library to study,I hope you study hard.
I have to go to the library,I hope you study hard.
The person in front of the library is fine.,You also go to the library.
Library books not returned,I guess I forgot
to go to the library to borrow a book,Go to the library.
I saw a nice guy at the library,You also go to the library.
I'm going to pack a lunch,bon appetite.
Should I bring a packed lunch?,It's not easy.
Packing a lunch box is annoying. Should I buy it?,Do it with the mindset of taking care of your health.
Shall we pack lunch?,It's not easy.
I need to pack a lunch,bon appetite.
I want to pack a lunch and go play,"When you go, I will go with you."
I want to pack a lunch and go on a picnic,"When you go, I will go with you."
packed lunch,bon appetite.
I brought a packed lunch,bon appetite.
Thank you so much to those who helped.,Don't forget to reply.
I don't like to challenge,You seem to like stability.
it's like the flu,Take care of your health.
Single parenting sucks,Have a conversation with your spouse.
I need to do some reading,That's a good idea.
It's hard because I'm trying to study on my own,You will be able to study more deeply.
flirting with money,I guess it's because I don't have it.
money roll,Please let me know too.
I spent all my money,The money will come back.
where did all the money go,Write the store book.
I don't know where all the money went,Write the store book.
all the money is gone,Stop leaking money.
Would you like to have a lot of money?,"Money isn't everything, but there's nothing better than money."
I want to be a rich job,that's the best
want to earn a lot of money,Study.
I wish I could make a lot of money,Study.
I want to raise money,"If you don't write, gather."
fun making money,You will be rich!
It's fun to raise money.,You will be rich!
Making money is not easy,It's not easy to make other people's money.
It's hard to make money.,It's not easy to make other people's money.
want to earn money,me too.
want to earn money,"The more you earn, the better."
what do you do when you earn money,please give me
what do you do to earn money,please give me
"I borrowed money, but no contact",I hope you wrote an IOU.
"I lent you money, but I fell asleep",I hope you wrote an IOU.
Dating course that doesn't cost money,Go on a hiking date.
where did the money go,Let's go~
"I don't have money, so should I do a two-job job?",if you need
no money,You can earn it.
A dating course that you can go without money,Go on a hiking date.
can't even get married without money.,It's hypocrisy.
i lost money,Be more careful now.
I need to raise some money,"If you don't write, gather."
lend me some money,I have no money.
It's like making a campaign with a small amount of money.,I guess it's because I don't have it.
Is it possible to get married without money?,It is possible as long as we agree with each other.
how do you collect money,"Step by step, step by step"
money dripping,Stop leaking money.
no money,"Step by step, step by step"
bad money,Let's go~
no money,You can earn it.
The money is gone.,Be more careful now.
I only have a thousand won,There are many things you can do without money.
I don't have any money,It's sad.
I wish I had a lot of money,"Money isn't everything, but there's nothing better than money."
I will turn,It will work out.
I will turn around. really,It will work out.
I have to go to the first birthday party,congratulate me and come
Motivation advances before me,Maybe next time.
Motivation is advancing,Maybe next time.
co-workers are too lazy,Ignore it if it doesn't do any damage.
Do the alumni answer.,Meet someone who is at the right level of conversation.
I almost got frostbite,Be careful of cold.
I think I'll get frostbite.,Be careful of cold.
My brother said he would marry me,The order doesn't matter.
My brother said he would marry first,The order doesn't matter.
Fighting with my brother,It grows while fighting.
I had a fight with my brother,It grows while fighting.
I have a weakness for my brother,This is a big deal.
I was annoyed with my brother,Practice holding back your anger.
I'm mad at my brother,Practice holding back your anger.
Same-sex friends are comfortable,I don't have a last name.
I like same sex,I don't have a last name.
I have to go to a club,Come and have fun.
I'm tired of leaving clubs,Take a break today.
Should I go to a club?,Take a break today.
Should I not leave the club?,Hobbies are good.
I have a club promise.,Come and have fun.
The club is no longer fun,Hobbies are good.
it's very dry,Try blinking your eyes.
There are two things I want to be,It's okay to have more.
I don't want to be,You don't have to be grandiose.
There's nothing going on,Things will work out from now on.
"I thought it would be good if only two people were good, but I guess it wasn't",I must have hit a wall of reality.
wait and see,You'll do great!
"I'm on the dull side, but only this is sensitive",Different developed senses.
It looks like you two are dating,You are quick-witted.
I have to leave without looking back,It's okay to look back a bit.
I'm afraid that someone is following me,Always be careful.
I was surprised to hear footsteps behind me,Always be careful.
Did you think I wouldn't hear you talking behind your back?,Never mind.
Did you think I couldn't hear you if you peeled pumpkin seeds from behind?,Never mind.
"Tossing and turning, I end up sleeping late",Get into the habit of going to bed 30 minutes earlier.
I got hit in the back of the head,Don't get hurt.
Back of the head fits well,Don't get hurt.
Classes are finally open,It's vacation soon.
"It's finally a date, what are you doing?",The night view is great. Go see the night view.
I guess spring has finally come,it got warm
finally holding hands,I hope it was good.
finally got promoted,Congratulations as much as the sky and the earth
finally graduate,congratulations on graduation
finally a thousand days,congratulations.
I finally got a couple ring,It's a romantic gift.
I'm finally going on a trip abroad,I want to be thrilled
no drama to watch,Find something else fun.
I want to play while watching dramas.,me too! I think that's the most comfortable.
Doesn't dry well,Let's practice watching the video.
Doesn't dry well,Let's practice watching the video.
I need to go on a drive date,Go to a place with a good night view.
Going on a date while driving,Go to a place with a good night view.
I made dried flowers,You're good at it.
I want to make a dressing room,Live in a multi-room house.
I wish there was a dressing room.,Live in a multi-room house.
Should I get a drone license?,It will be a famous qualification in the future.
I think getting a drone pilot license would be fun,It will be a famous qualification in the future.
I like a reliable person,It must be great luck to have someone you can rely on by your side.
tuition is too expensive back flexion,That's what I mean.
tuition is expensive,That's what I mean.
Shall we climb,Climb together.
It's nice to be warm.,I like the warm feeling too.
I think I will live because it gets warmer.,I like the warm feeling too.
no hot water,See if the boiler runs on hot water.
just right,Enjoy the present!
do you know what else to do?,"I want to do a lot of things, but there are still many things I can't do."
Should I look for something else?,You might want to try it.
I want to eat strawberries.,fresh fruit is good
I need to eat strawberries,bon appetite.
I want some strawberries,bon appetite.
I want to go to the Strawberry Buffet,I like strawberries too. let's go together.
I really want to eat strawberries.,fresh fruit is good
I like strawberries,me too!
I would like to buy land.,Take a good look and buy it.
Shall I live on land?,Take a good look and buy it.
I want to hit,It seems very tired and difficult.
Let's go~ Jeju Island~,Travel is good!
I want to eat tteokbokki,Please eat!
I must be nervous,Take a deep breath.
I dropped it and my phone screen went out.,leave it as
It's open again,I hope you have a good start.
It's starting again,I hope you have a good start.
I have to study again,Be interested in your studies.
it snows again,guess you don't like snow.
I haven't met you again,You'll see it tomorrow.
what else do you eat,Enjoy whatever you eat!
I think I'm fat again,it will feel
another spam call,Try a blocking app.
overtime again,I want you to go home and get some rest.
How else do you hold on?,tomorrow will be better
no more calls,Wait a little bit and it will be solved
late again,wake up earlier
ate again,Observe me and focus on the food itself.
Another month has passed,Time goes by so fast.
Too many jerks,There are different kinds of people in the world.
There are so many jerks,There are different kinds of people in the world.
I have to say it straight,You will be able to deliver it well.
the same days,You can change it as much as you like.
smart!,"I am Pibo, a robot friend who connects hearts."
wish i was smart,It's enough now.
i want to be smart,It's enough now.
shit,go to the bathroom
I want to go to a hot spring.,"The body is hot, the head is cold!"
I'm thinking unexpectedly,Life doesn't always go the way you want it to.
"I'm sorry, please play",Have you ever played a game of wrecking your face while looking in the mirror? It's surprisingly fun.
Please tell me how to cook delicious ramen,Try the ramen bag recipe.
I want to eat ramen,I like it.
I want to eat ramen,Cook it deliciously.
I want to eat ramen.,Cook it deliciously.
want to eat ramen,I like it.
How to cook ramen well,Try the ramen bag recipe.
I got a LAN line butler,So cute right?
I want to buy legos but they are expensive,Collect money and buy it.
lego is expensive,Collect money and buy it.
"I think I made it according to the recipe, but why doesn't it taste good?",It could be because I don't like the taste.
"I followed the recipe, but why doesn't it taste good?",It could be because I don't like the taste.
I'm afraid to rent a car,Maybe you need a car for something.
I can't remember my login ID,Try to find member information.
I forgot my login ID,Try to find member information.
Call the lottery winning numbers,"If I knew, I would have done it first."
Please call lottery winning numbers,I will do it if you know.
I wish I could win the lottery,Buy a lottery ticket first.
tell me lottery numbers,"If I knew, I would have done it first."
tell me lottery numbers,I will do it if you know.
I wish I had a lottery,Buy a lottery ticket first.
Shall we go to Lotte World?,You will love all amusement parks.
Should I buy long padding?,It's perfect when it's cold.
Do I need long padding?,It's perfect when it's cold.
Shall we remodel,You should do it if you need to.
I want to eat lychee cheese pizza.,have it delivered
Shall we reform,You have good hand dexterity.
I want to live in a house with marding,Save money and buy land.
Shall we go to the marathon?,The beginning is all good.
Should I run a marathon?,The beginning is all good.
dry cough,Have a glass of warm water.
Dry cough keeps coming out,Have a glass of warm water.
bought a lot of face masks,I like constant self-care.
I bought a lot of face masks.,I like constant self-care.
I'm getting my mind,What a relief.
I have nowhere to put my mind,you know i have
Hold your heart and go go,Everything will be fine.
catch up and start again,Everything will be fine.
My heart is cold and the weather is cold,Be careful of cold.
I'm young at heart,You must be young at heart.
My heart is always young,You must be young at heart.
"You seem to like it, but why don't you confess?",Confess first.
just do what you don't like,Don't hate me too much.
I don't like any,There are times like that.
I want to show my heart.,So expression is important.
I was clearing my mind when an unexpected man texted me on KakaoTalk,It might help you sort things out.
"I was organizing my mind, but KakaoTalk came",It might help you sort things out.
I can't afford it,hope you will have the time to love yourself and love others.
i need peace of mind,Try meditating.
my heart gets heavy,Think positive.
I wish I could see your heart,So expression is important.
my heart is complicated,Don't think too much and just do whatever you want.
"My mind is restless, so I keep writing",It will be organized as you write.
"My mind is restless, so I keep writing here.",It will be organized as you write.
I'm depressed,Try shouting out loud.
I'm depressed,Walk down the street.
My heart is exceptionally cold,Be careful of cold.
My heart keeps getting impatient,"When you're impatient, you make mistakes you wouldn't make."
impatient,"When you're impatient, you make mistakes you wouldn't make."
confused,Don't think too much and just do whatever you want.
my heart is empty,I'll fill it up.
I want to eat macarons,Expensive but delicious.
I want to fix what I just said,Start with the desire to fix it.
I just want to buy something,"It is said that the more money you spend, the more you get."
I wish I didn't say anything stupid,There must be someone next to you who speaks without thinking. Ignore it.
I'm dope,There must be someone next to you who speaks without thinking. Ignore it.
It's the worst,The wounds of words cannot be erased.
I think I'm going to talk,Practice listening with your mouth closed.
I'm speechless,Practice listening with your mouth closed.
stupid talk is the worst,The wounds of words cannot be erased.
I hurt you by talking to you,think and speak
missed the last train,I can't help it.
"I missed the last train, it's a waste of taxi fare",I can't help it.
I missed the last train,Have a safe return home.
Fight whenever we meet,My personality doesn't seem right.
Fight whenever we meet,don't meet
"Whenever we meet, we keep fighting",My personality doesn't seem right.
I don't like to meet you,I think it would be nice to meet you then.
fight when we meet,don't meet
"It's nice to meet you, but it's annoying",You have to overcome your cynicism.
There is a nice person to meet. lol,Create a good relationship with that friend.
"It's nice to meet you, but I don't want to date you","""boyfriend Be a girl friend."""
I'll meet you and confess,Regret only breeds regret. Be brave.
It's annoying to make an appointment to meet,The time you meet with yourself is also important.
"It's nice when we meet, I think it's okay when we don't meet",I think it would be nice to meet you then.
You're a talker!,Thank you for the compliment.
I want to eat dumplings,I think it will be delicious.
made by,It was created by a person who wants to connect hearts and minds.
I guess I'm not satisfied,There is no progress if you are satisfied.
I don't know how to be satisfied,There is no progress if you are satisfied.
should I be satisfied?,It is important to be satisfied with where you are.
"I ate a lot, but the weight is the same",How amazing.
I ate a lot and I'm sleepy,It's nature's ichi. good night
I'm tired even if I sleep a lot,You must be busy these days.
It's hard to talk,"It's hard at first, but it'll be less after that."
I want to speak beautifully,Just do it like you do now.
I want to speak well,Read a lot of books.
how to speak well,Read a lot of books.
I wish I could speak better,Read a lot of books.
I am speechless,Maybe something unexpected happened.
am speechless,Maybe something unexpected happened.
I made a mistake,It can hurt.
i can't speak,Think it's nothing.
What do you do with people who change their words frequently?,Create evidence that can't be taken away.
I wish I could speak nicely,Practice following people who are good at talking.
Why can't you understand what I'm saying?,I'll try my best.
Can't you understand what I'm saying?,I'll try my best.
I want to speak better,Practice following people who are good at talking.
I'm going to die of regret after saying it,I will forever regret it.
talk too much,"Chat with me, not him."
speechless,Meet someone who is at the right level of conversation.
speechless,Do not give up.
It does not make sense,It happens a lot.
Words seem to be the scariest,Let other people's words go in one ear.
Be careful with your words,Practice thinking and speaking.
I don't like the way you talk,"You can change the way you speak, but if your personality isn't good, that's a problem."
I don't speak well,"You can change the way you speak, but if your personality isn't good, that's a problem."
I feel relieved after speaking,I'm glad you're relieved.
What if I say something and regret it,Words cannot be picked up.
I'm afraid I'll regret telling you,Words cannot be picked up.
I really hope it's done as you say,Wouldn't life be fun then?
It's fun to talk!,Thank you for the compliment.
I hope everything goes as you say,Wouldn't life be fun then?
If it comes true as you say,There will be no fun in living.
I shouldn't have told you,Be careful with your words.
say it,"If you tell me that we broke up today, I will comfort you."
I don't feel comfortable,you know i have
Little by little things are getting organized in my heart,What a relief.
"I want to eat something delicious, but I'm worried about gaining weight",Eat and exercise.
smells delicious,sniff sniff
I want to go to a restaurant,I want to eat already.
I went to a restaurant,I hope you enjoy your meal.
Shall we go to a restaurant,I want to eat already.
mango shaved ice is delicious,Desserts are always delicious.
did you make the right decision?,"""yes Now it's your turn to do well."""
is it the right choice,I made a good choice.
someone who misspells a lot,wake up a bit
a person who is always bad at spelling,wake up a bit
Breaking up my boyfriend who keeps getting his spelling wrong,I'm a little bit awake.
I want to eat spicy tteokbokki,Please eat!
I want to eat spicy chicken feet.,Do you have something that's stressing you out?
Spicy kalguksu gogo?,I guess I'll taste it.
tired every morning,Go to bed a little earlier.
The person you see on the bus you ride every day,is it destiny
Reminds me of spicy chicken feet,Do you have a stressful job?
you should drink beer,Eat in moderation.
Should I drink beer or soju?,It's somaek!
What kind of beer and soju should I drink?,It's somaek!
how about a beer,have a drink with me
Would you like a beer?,have a drink with me
should have a beer,Eat in moderation.
I wish I could just play every day,"Play when you play, do it when you play."
always the same,That's what life is like. Then something else appears.
always the same,Nothing is the same.
It's the same every day,Maybe that's happiness.
Is it possible to get married naked?,It is possible as long as we agree with each other.
Does your hair look oily?,I usually know everything.
I'll shave my head,Cut it nicely and come.
i need to cut my hair,Cut beautifully!
I need to cut my hair,Cut beautifully!
your hair will smell,Always keep it clean.
Would you like me to get your hair trimmed?,Just trim it and you'll be fine.
I have to cut my hair again,I must have thought it was strange.
Should I change my hair,It's good to try new styles.
Should I change my hair style,It's good to try new styles.
Head hurts,Take a break from the cool breeze and take your medicine!
I think my head hurts,go to the hospital
Can you tell that you haven't washed your hair?,I usually know everything.
"I didn't wash my hair, so I lost my hair",Just wash your bangs.
how do i cut my hair,I think it would be okay to make a short change.
what to do with hair,Ask your hair stylist.
I need to dye my hair,"If you dye your hair frequently, it will damage your hair."
overcapacity of the head,Close your eyes and meditate.
Shall I get my hair done?,Just trim it and you'll be fine.
I need to cut my hair short,A change of style would be nice too.
I don't think I'll have any hair left,Take care of hair loss.
I think I got hit in the head,Take a break and go.
I should cut my hair off,A change of style would be nice too.
hair grows too fast,I must have thought it was strange.
my head hurts so much,Take a break from the cool breeze and take your medicine!
I feel like I got hit in the head,Take a break.
I have a headache,Take a break.
My head hurts a bit.,go to the hospital
My head is pounding,Take your headache medicine.
My head gets stuck,guess I had a lot to worry about.
I'm busy with my head,It would be nice if you were busy.
Shall I change my hair style?,Change your mood.
how to change hair style,Ask your hair stylist.
It feels like it's going to explode in your head,It would be nice if you were busy.
a lot of hair,You must be stressed.
Feeling of hair falling out,You must be stressed.
hair fall out a lot,Don't stress.
hair keeps falling out,Don't stress.
I wish my hair was a little shiny.,It's not easy to manage.
My head is complicated,Come and get some fresh air.
I can't organize my mind,Come and get some fresh air.
My mind went blank,There are times like that. Calm down.
I feel sleepy after eating,It's nature's ichi. good night
hard to eat,You must be very tired.
eat and sleep,that's the best
"I just want to eat, sleep and play",I want to too.
eat sleep eat sleep,that's the best
"Can I just eat, sleep and play?",That's how to become a cow.
Can I eat and sleep,That's how to become a cow.
I have no money to eat and die,There are many things you can do without money.
too lazy to eat,Eat and live.
I'm afraid I'll gain weight if I eat it,Eat and exercise.
nothing to eat,Try digging out the refrigerator.
I have nothing to eat,It's time to go shopping.
nothing to eat,It's time to go shopping.
Should I eat or wait?,eat a little
"It's stuffy, it's frustrating",Meet someone who is at the right level of conversation.
sleep well first,good night
My throat hurts because of the dust,Wear a mask and go.
I hate dust,Wear a mask and go.
How is the dust index,There is a lot of fine dust today.
dust dust,Clean up quickly.
too much dust,Clean up quickly.
Is there a lot of dust,There is a lot of fine dust today.
dust has accumulated,Clean up.
I want to age gracefully,I still do.
I want to grow old gracefully,I still do.
I wanted to live a wonderful life,It's still cool.
I figured it out cool,Go with a nice person.
I want to live a wonderful life,It's still cool.
bruising,Taking a break from time to time is good for your mental health.
bruising,Taking a break from time to time is good for your mental health.
I'm stupid,It will be different next time.
What if there is a manual,A lot of people don't follow the manual.
What if you have a manual,A lot of people don't follow the manual.
where did you put the memory card,I guess I'm on my feet
I lost my memory card,I guess I'm on my feet
I need a habit of taking notes,I'm going to do it from today.
I want to develop the habit of taking notes,I'm going to do it from today.
watching a makeup video,I don't know how time goes.
